>NODE_74_length_477_cov_0.985714	477	0.985714
>NODE_75_length_473_cov_0.933526	473	0.933526
>NODE_76_length_471_cov_0.941860	471	0.941860
>NODE_77_length_469_cov_1.008772	469	1.008772
>NODE_78_length_469_cov_1.008798	469	1.008798
>NODE_79_length_465_cov_1.020710	465	1.020710
>NODE_80_length_464_cov_0.946588	464	0.946588
>NODE_81_length_462_cov_0.952381	462	0.952381
>NODE_82_length_459_cov_1.026866	459	1.026866
>NODE_83_length_459_cov_1.638554	459	1.638554
>NODE_84_length_459_cov_0.912651	459	0.912651
>NODE_85_length_458_cov_1.039275	458	1.039275
>NODE_86_length_458_cov_1.021148	458	1.021148
>NODE_87_length_458_cov_1.045455	458	1.045455
>NODE_88_length_457_cov_0.936364	457	0.936364
>NODE_89_length_456_cov_2.024316	456	2.024316
>NODE_90_length_454_cov_0.929664	454	0.929664
>NODE_91_length_453_cov_2.276074	453	2.276074
>NODE_92_length_453_cov_1.000000	453	1.000000
>NODE_93_length_452_cov_0.926380	452	0.926380
>NODE_94_length_452_cov_1.000000	452	1.000000
>NODE_95_length_452_cov_0.969231	452	0.969231
>NODE_96_length_452_cov_0.963077	452	0.963077
>NODE_97_length_451_cov_1.055556	451	1.055556
>NODE_98_length_451_cov_1.006173	451	1.006173
>NODE_99_length_451_cov_0.987654	451	0.987654
>NODE_100_length_450_cov_1.065015	450	1.065015
>NODE_101_length_449_cov_0.975155	449	0.975155
>NODE_102_length_449_cov_0.928571	449	0.928571
>NODE_103_length_448_cov_1.071651	448	1.071651
>NODE_104_length_447_cov_1.053125	447	1.053125
>NODE_105_length_447_cov_0.981250	447	0.981250
>NODE_106_length_439_cov_1.092063	439	1.092063
>NODE_107_length_436_cov_0.869427	436	0.869427
>NODE_108_length_439_cov_1.092949	439	1.092949
>NODE_109_length_438_cov_0.877814	438	0.877814
>NODE_110_length_431_cov_1.093548	431	1.093548
>NODE_111_length_436_cov_1.135922	436	1.135922
>NODE_112_length_435_cov_1.110390	435	1.110390
>NODE_113_length_433_cov_0.714286	433	0.714286
>NODE_114_length_433_cov_0.918301	433	0.918301
>NODE_115_length_433_cov_0.859477	433	0.859477
>NODE_116_length_431_cov_0.836066	431	0.836066
>NODE_117_length_431_cov_1.082237	431	1.082237
>NODE_118_length_429_cov_1.033003	429	1.033003
>NODE_119_length_426_cov_0.930233	426	0.930233
>NODE_120_length_381_cov_8.255906	381	8.255906
>NODE_121_length_377_cov_6.848000	377	6.848000
>NODE_122_length_330_cov_6.798030	330	6.798030
>NODE_123_length_319_cov_9.020833	319	9.020833
>NODE_124_length_293_cov_3.566265	293	3.566265
>NODE_125_length_270_cov_7.265734	270	7.265734
>NODE_126_length_270_cov_4.370629	270	4.370629
>NODE_127_length_265_cov_2.442029	265	2.442029
>NODE_128_length_255_cov_6.875000	255	6.875000
>NODE_129_length_255_cov_5.554688	255	5.554688
>NODE_130_length_255_cov_4.742188	255	4.742188
>NODE_131_length_255_cov_4.617188	255	4.617188
>NODE_132_length_255_cov_4.359375	255	4.359375
>NODE_133_length_250_cov_25.113821	250	25.113821
>NODE_134_length_236_cov_19.678899	236	19.678899
>NODE_135_length_198_cov_8.394366	198	8.394366
>NODE_136_length_195_cov_5.382353	195	5.382353
>NODE_137_length_190_cov_6.269841	190	6.269841
>NODE_138_length_189_cov_8.758065	189	8.758065
>NODE_139_length_174_cov_2.042553	174	2.042553
>NODE_140_length_170_cov_14.651163	170	14.651163
>NODE_141_length_166_cov_2.692308	166	2.692308
>NODE_142_length_151_cov_7.250000	151	7.250000
>NODE_143_length_145_cov_17.055556	145	17.055556
>NODE_144_length_141_cov_14.785714	141	14.785714
>NODE_145_length_141_cov_5.714286	141	5.714286
>NODE_146_length_141_cov_4.214286	141	4.214286
>NODE_147_length_129_cov_17.000000	129	17.000000
>NODE_148_length_128_cov_1536.000000	128	1536.000000
>NODE_149_length_128_cov_150.000000	128	150.000000
